epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4215.33,1.27056,1.76787,1.58292,0.38701,0.34468,0.28126,0.17325,1.34138,2.00649,1.64639,9.0595e-05,9.0595e-05,9.0595e-05
40,4323.15,1.23884,1.75789,1.55574,0.32864,0.33191,0.25762,0.15379,1.34315,1.99106,1.64922,9.03475e-05,9.03475e-05,9.03475e-05
41,4430.85,1.25151,1.74021,1.55748,0.25872,0.39149,0.24883,0.15634,1.30793,2.02964,1.59698,9.01e-05,9.01e-05,9.01e-05
42,4538.21,1.22894,1.76191,1.56207,0.30662,0.42128,0.27887,0.16824,1.32824,1.9484,1.63882,8.98525e-05,8.98525e-05,8.98525e-05
43,4645.48,1.22895,1.73431,1.54656,0.34571,0.40426,0.29908,0.19492,1.30247,1.89309,1.61475,8.9605e-05,8.9605e-05,8.9605e-05
44,4753.39,1.21904,1.71185,1.52993,0.31186,0.37991,0.27804,0.18517,1.28397,1.96833,1.59302,8.93575e-05,8.93575e-05,8.93575e-05
45,4860.75,1.20467,1.68344,1.53251,0.27696,0.41702,0.29075,0.17766,1.31763,1.89929,1.62696,8.911e-05,8.911e-05,8.911e-05
46,4968.34,1.2002,1.67619,1.51831,0.32904,0.3485,0.27099,0.17058,1.32228,1.9144,1.62941,8.88625e-05,8.88625e-05,8.88625e-05
47,5076.13,1.20565,1.67349,1.52179,0.3521,0.35319,0.26187,0.17264,1.27898,2.00031,1.58832,8.8615e-05,8.8615e-05,8.8615e-05
48,5183.7,1.19083,1.67212,1.52301,0.30093,0.3234,0.24779,0.16262,1.29302,1.99599,1.60744,8.83675e-05,8.83675e-05,8.83675e-05
49,5290.89,1.19135,1.63378,1.52793,0.3597,0.3234,0.281,0.18249,1.30344,1.90803,1.60664,8.812e-05,8.812e-05,8.812e-05
50,5398.71,1.1915,1.6558,1.5221,0.37064,0.34468,0.27939,0.18011,1.28347,1.94141,1.6007,8.78725e-05,8.78725e-05,8.78725e-05
51,5506.38,1.17865,1.65073,1.51809,0.39066,0.31915,0.28398,0.18331,1.27375,1.89616,1.58063,8.7625e-05,8.7625e-05,8.7625e-05
52,5613.76,1.1843,1.61664,1.50189,0.34476,0.40851,0.27851,0.17838,1.28547,1.93336,1.59929,8.73775e-05,8.73775e-05,8.73775e-05
53,5721.46,1.1852,1.62366,1.49291,0.32285,0.40426,0.27835,0.18447,1.27454,1.95124,1.58697,8.713e-05,8.713e-05,8.713e-05
54,5829.45,1.15216,1.5796,1.48477,0.28045,0.36596,0.261,0.15554,1.29554,1.9704,1.626,8.68825e-05,8.68825e-05,8.68825e-05
55,5937.14,1.14227,1.57146,1.48352,0.32405,0.42553,0.29295,0.17498,1.35324,1.98147,1.67125,8.6635e-05,8.6635e-05,8.6635e-05
56,6044.28,1.15807,1.54992,1.49309,0.30483,0.36596,0.2788,0.17517,1.3032,2.01085,1.61444,8.63875e-05,8.63875e-05,8.63875e-05
57,6151.96,1.1406,1.56959,1.47287,0.30443,0.35014,0.26518,0.1642,1.32463,2.00946,1.64073,8.614e-05,8.614e-05,8.614e-05
58,6259.64,1.13574,1.53376,1.4724,0.34768,0.37422,0.28814,0.18227,1.26768,1.92258,1.56253,8.58925e-05,8.58925e-05,8.58925e-05
